household_key,BASKET_ID,coup_user,COUPON_UPC
1297,147,no,0
1298,50,no,0
1299,192,yes,6
1300,84,no,0
1301,80,no,0
1302,36,no,0
1303,212,yes,1
1304,90,no,0
1305,373,yes,2
1306,171,no,0
1307,174,no,0
1308,23,no,0
1309,9,no,0
1310,34,no,0
1311,17,no,0
1312,134,no,0
1313,30,no,0
1314,421,no,0
1315,5,no,0
1316,58,no,0
1317,196,no,0
1318,74,yes,6
1319,48,no,0
1320,14,no,0
1321,204,no,0
1322,16,no,0
1323,11,no,0
1324,42,no,0
1325,64,no,0
1326,394,yes,1
1327,9,no,0
1328,96,no,0
1329,31,no,0
1330,86,no,0
1331,105,no,0
1332,60,no,0
1333,129,yes,8
1334,57,no,0
1335,31,no,0
1336,123,no,0
1337,244,yes,4
1338,189,no,0
1339,6,no,0
1340,57,no,0
1341,13,no,0
1342,12,no,0
1343,12,no,0
1344,27,no,0
1345,56,no,0
1346,80,no,0
1347,131,yes,2
1348,23,no,0
1349,202,no,0
1350,131,no,0
1351,91,no,0
1352,138,no,0
1353,132,no,0
1354,87,no,0
1355,14,no,0
1356,86,yes,1
1357,87,yes,3
1358,123,no,0
1359,76,no,0
1360,23,no,0
1361,11,no,0
1362,61,no,0
1363,58,no,0
1364,145,yes,1
1365,9,no,0
1366,256,no,0
1367,352,yes,1
1368,32,no,0
1369,144,no,0
1370,86,no,0
1371,45,no,0
1372,25,no,0
1373,40,no,0
1374,99,no,0
1375,122,no,0
1376,235,yes,10
1377,35,no,0
1378,121,no,0
1379,509,no,0
1380,25,no,0
1381,49,no,0
1382,116,no,0
1383,128,no,0
1384,33,no,0
1385,112,no,0
1386,8,no,0
1387,66,no,0
1388,151,no,0
1389,41,no,0
1390,211,no,0
1391,169,yes,1
1392,109,no,0
1393,203,yes,6
1394,151,yes,3
1395,40,no,0
1396,229,yes,1
1397,283,yes,1
1398,20,no,0
1399,33,no,0
1400,11,no,0
1401,52,no,0
1402,165,no,0
1403,151,no,0
1404,44,no,0
1405,55,no,0
1406,116,no,0
1407,35,no,0
1408,57,no,0
1409,87,no,0
1410,45,no,0
1411,6,no,0
1412,77,yes,3
1413,27,no,0
1414,17,no,0
1415,27,no,0
1416,6,no,0
1417,75,yes,3
1418,78,no,0
1419,524,yes,8
1420,79,no,0
1421,218,yes,14
1422,11,no,0
1423,189,yes,2
1424,57,no,0
1425,131,no,0
1426,65,no,0
1427,83,no,0
1428,164,yes,1
1429,83,yes,1
1430,344,yes,1
1431,155,no,0
1432,9,no,0
1433,8,no,0
1434,220,no,0
